"   ""[["	Date	Pins	hannajane	 
"   """	4/30/14	217	familyshare	 
"   """	5/6/14	123	apairandaspare	 
"   """	5/8/14	348	superordinary	 
"   """	5/9/14	75	meabuis	 
"   """	5/15/14	539	amaraliving	 
"   """	5/19/14	201	Tameramowry	 
"   """	5/28/14	120	jennieprince	 
"   """	6/30/14	58	annaabeukema97	 
"   """	7/7/14	706	thewhitecompany	 
"   """	7/15/14	64	hbharvest	 
"   """	8/15/14	534	LIttlePaperLane	 
"   """	9/3/14	220	mmandaaa	 
"   """	11/29/14	90	daphcut	 
"   """	1/10/15	2278	ciciwin	 
"   """	2/16/15	930	jesszanotti	 
"   """	3/3/15	2386	inekepetri	 
"   """	3/20/15	197	veromoda	 
"   """	4/1/15	45	wonderfulyou	 
"   """	4/15/15	149	fayebucks	 
"   """	4/17/15	59	wellandfull	 
"   """	4/19/15	174	joyfulmomma	 
"   """	4/30/15	109	cookingclassy	 
"   """	5/2/15	132	newdarlings	 
"   """	5/20/15	122	tineey	 
"   """	6/2/15	202	mixandmatchmama	 
"   """	6/6/15	65	jessannkirby	 
"   """	6/20/15	73	dollyandoatmeal	 
"   """	6/29/15	90	pil4r	 
"   """	7/21/15	63	fashionmugging	 
"   """	1/4/16	62	shopwhiteplum	 
"   """	2/1/16	57	sallyharthats	 
"   """	3/24/16	130	beyondyoga	 
"   """	3/31/16	101	Kimhuff5	"]]"""
]	4/18/16	28		
				
		555.4266667		
